Name,Weight (lbs),Sex,Claw Length (inches),Tail Length (inches),Fur Color,Eye Size (inches),Injury,Teeth Length (inches),Height (inches),Length (inches),Number of Siblings,Age,Wood Chucked (lbs)
VOLTA,10.239888684404074,male,1.5444939504134263,7.036292575409814,black,0.15231423373276226,no,4.727430461310521,7.47492567230256,12.290170654388637,7,12.0,36.25728987686634
LINUS,3.7963170450320898,female,4.15825857034095,2.703413037995202,dark brown,0.10540115712077723,no,2.1551183928395385,1.9989972636363387,5.251031457625469,6,3.0,110.0867286306097
JOBU,6.30957641491593,male,2.145416959391093,3.824124870547778,dark brown,0.15659491417212157,yes,2.753148336002185,3.895430678253492,10.172827013038338,6,1.0,354.3248231616758
ISKUT,9.667166070131465,female,4.1289602921580295,6.2020316483367885,red,0.1974400039852157,yes,4.661201252822981,7.8177201330399555,14.749409081509594,6,5.0,389.75426675916543
DEHAVILLAND,11.78346042229488,male,2.0455569112871705,6.516304763897548,grey,0.28677771817170816,no,5.117100594165957,8.721166428467201,9.390506881936842,5,10.0,71.14147966067802
ELSU,9.66777622423027,male,1.751972995011366,7.489125223120345,red,0.27808617694147725,no,5.033599121921896,7.553227939517015,16.179813136613344,11,1.0,2275.82347126781
KIAORA,9.233729764592951,female,2.991730024612032,8.247199749391001,albino,0.14474272397182772,yes,2.6501865987813775,5.954406405162102,18.11488992522858,11,1.0,1192.5797856381387
DODGER,5.4341549721755005,female,3.6942682272805647,3.608766237201718,dark brown,0.0927605772226115,no,2.6566696683053217,2.893136104992145,9.810452958757136,2,2.0,508.83231485530666
FLINT,8.967228975993255,female,91.41619481726333,3.204814233737422,dark brown,0.1794024843904879,no,2.4281177968121272,6.33591397210465,16.155090601354622,5,5.0,753.2611387256621
KOOSKA,11.09350992424173,male,0.9757672007805073,8.79884956014834,albino,0.21591167840238387,no,6.288015085928528,8.311906568405565,16.745566464460726,3,2.0,2382.666951445341
KODA,13.177489247231838,male,0.566945549743459,8.985989821288655,light brown,0.28736875776853243,no,4.226779180570848,9.139223671172793,23.974197714713096,4,1.0,3672.7659085905475
JUJU,6.176060847432081,male,1.3842875188409987,4.877892307540947,black,0.13828888388379865,no,4.388779081059779,3.1103026379957823,9.498216396642288,9,2.0,657.6215296742473
FOX,8.985329714119823,male,2.221018884120831,4.601023544202747,light brown,0.26917388240199597,no,5.179681386758956,6.4960528370427,14.14895004869062,7,11.0,48.2106446608158
PERU,12.906155177339457,female,4.3178090487710215,7.6799591759003105,grey spots,0.3509962976761638,no,4.5806957514267195,11.5373086549679,22.59532155204905,9,1.0,3366.103931662821
COLLIS,7.395579582516001,female,3.670349075553096,4.5714157072939425,albino,0.19879902323178994,no,2.9074767509719117,3.876430030676714,13.354236474453119,4,2.0,1232.7936210063542
SASSY,10.152600222182897,female,2.0024738295905724,4.967231521848461,grey spots,0.14768484966880907,yes,6.6442449444299765,8.924445253524086,16.454751271780328,4,8.0,117.8024266268683
ROCKY,8.823872448219593,female,4.212905452253604,5.573764295894609,grey spots,0.24594602993752962,no,2.668488309966164,8.634737293766241,12.204408468526411,5,1.0,1374.8303249401156
MEKA,4.440650139310174,female,2.964052443736597,3.101649661125862,grey,0.10038464527046831,no,2.9785504625581347,3.0553277525702596,9.049854103309308,10,3.0,260.4723453373373
FRASIER,6.947186292782057,male,2.830979506506964,5.067372056863379,albino,0.11358114183408223,no,1.4150236663440199,4.10014171359827,11.120820025801116,5,1.0,876.6799570611756
FREYA DALTON,10.968760411298192,male,0.7075315149315387,9.127284342778589,grey spots,0.1917881940755448,no,7.237728212461848,7.898901834794299,20.09026113996168,8,3.0,2702.2832867699535
SHIBA,3.3176087552278712,female,3.336258303440347,1.9933422778715821,grey spots,0.0863960218981063,no,0.9916680453970653,2.3786890578903463,5.483795272776665,3,15.0,6.235212540254639
DOZZER,10.67023901400461,male,1.980206595278123,5.115973618663933,red,0.3034411418463036,no,4.214135425666937,9.011219658201481,15.777797451998842,5,4.0,1453.4788213601012
MAX LEE,4.932966956398162,female,4.04979539845391,2.9728536339276643,dark brown,0.14532610486179956,no,2.4832981249031283,3.998233898924368,6.038257132302537,5,5.0,81.95828372131913
BUGS,3.9341533069330303,female,3.6653513655303733,2.249625489540691,grey,0.07789444650414638,no,1.9698596475450665,2.0812400986335926,7.231967124464579,4,5.0,64.58823858424542
EVE,7.762754027998382,female,3.265492699040677,4.2101380601511424,grey spots,0.16479069585354633,yes,2.919121861126349,6.478893569739561,8.92026571703132,5,3.0,329.9496922485943
DRANZER,7.074127007777772,female,3.3766125590239016,4.670171548171017,dark brown,0.1763286043421282,no,1.7657560814870206,4.990071129366569,12.28222608367202,8,1.0,1029.3231329619657
AJAXX,6.19226859380447,male,1.7321810700992608,4.44464023326443,light brown,0.13461872995750346,no,1.311151101069968,4.3646721855332995,11.289983847014653,11,11.0,16.2616581587484
TEDDY RUXPIN,7.585982994315393,female,3.7479155050459556,6.902977085486805,grey spots,0.24034888293920764,no,2.4467931873050666,6.133050930699601,13.549857121949847,3,22.0,8.5204985001725
SKYE,5.709260077028709,male,2.439231629793331,3.6787153334408385,light brown,0.12115202903625943,no,2.1651794150688652,4.906526542756364,9.387268047247582,5,5.0,164.8745216359534
INFINITEY,8.17316823794341,female,4.379946147806516,5.384208638518232,black,0.17667227762007778,no,1.9484921712680636,5.694308985676099,11.961112193219085,6,2.0,1142.4993613821878
MOTLEY,6.924452008363518,female,3.4551129981055904,5.077891918924317,red,0.17266581196176403,no,2.67403192676587,5.328941760022853,9.161701027106952,7,18.0,7.919964824453225
COWBOY,8.132872184910617,female,3.415578954211081,6.377144457137426,grey,0.1631110842561298,no,1.4430891964942372,6.481552881255425,15.193075190367624,1,6.0,337.5398674055928
SONJA,4.405160826858038,female,3.4220276023221348,3.821052993959416,light brown,0.09503908166966012,no,2.338968852809736,3.0217540388299704,5.938127278011895,7,2.0,196.43563336806645
LOAF,4.419562614667806,female,4.262800851787569,3.1592868750920338,grey,0.08436216705279657,no,2.0492211707337127,3.9590261303033634,8.399863488810546,6,4.0,156.31183039549225
TRICKIE,8.271965073754885,male,2.142903496191577,4.821874590568772,albino,0.1776169038562062,no,5.7294807772466445,2.697971651279435,11.190216750925872,3,19.0,6.427063822053312
SHELLY,4.845785848739881,female,3.4852722549314032,3.0110311012570055,red,0.10920726058898343,no,2.53457219956143,3.750397660990838,6.369728560969774,4,1.0,267.4011778769205
